"dia_da_semana","hora_do_dia","taxa_atraso_pct","total_pedidos"
"Domingo",5,"6.96","158"
"Domingo",6,"8.25","303"
"Domingo",7,"8.88","552"
"Domingo",8,"13.47","2472"
"Domingo",9,"17.38","3378"
"Domingo",10,"10.14","2535"
"Domingo",11,"9.96","1887"
"Domingo",12,"5.62","1156"
"Domingo",13,"4.21","903"
"Domingo",14,"8.31","999"
"Domingo",15,"10.73","2255"
"Domingo",16,"15.05","2777"
"Domingo",17,"10.65","2301"
"Domingo",18,"8.67","1465"
"Domingo",19,"5.94","606"
"Domingo",20,"8.81","193"
"Domingo",21,"10.29","68"
"Domingo",22,"15.79","38"
"Domingo",23,"0.00","1"
"Segunda",3,"0.00","1"
"Segunda",4,"33.33","3"
"Segunda",5,"4.76","84"
"Segunda",6,"3.85","130"
"Segunda",7,"7.96","226"
"Segunda",8,"7.81","1843"
"Segunda",9,"9.59","2524"
"Segunda",10,"7.33","1447"
"Segunda",11,"6.65","917"
"Segunda",12,"8.05","882"
"Segunda",13,"6.30","889"
"Segunda",14,"6.05","777"
"Segunda",15,"7.70","1351"
"Segunda",16,"9.00","2011"
"Segunda",17,"8.35","1857"
"Segunda",18,"7.58","1306"
"Segunda",19,"7.62","525"
"Segunda",20,"11.31","168"
"Segunda",21,"16.67","54"
"Segunda",22,"42.31","26"
"Segunda",23,"0.00","1"
"Terça",3,"0.00","1"
"Terça",4,"20.00","5"
"Terça",5,"11.01","109"
"Terça",6,"11.76","119"
"Terça",7,"9.62","239"
"Terça",8,"12.26","2235"
"Terça",9,"11.25","2729"
"Terça",10,"6.94","1672"
"Terça",11,"6.54","963"
"Terça",12,"8.31","722"
"Terça",13,"5.10","980"
"Terça",14,"8.84","939"
"Terça",15,"11.01","1762"
"Terça",16,"9.17","2431"
"Terça",17,"10.42","2121"
"Terça",18,"9.77","1218"
"Terça",19,"31.13","591"
"Terça",20,"6.49","185"
"Terça",21,"17.65","85"
"Terça",22,"17.07","41"
"Quarta",3,"0.00","2"
"Quarta",4,"0.00","1"
"Quarta",5,"5.98","117"
"Quarta",6,"8.76","137"
"Quarta",7,"10.00","290"
"Quarta",8,"9.06","2372"
"Quarta",9,"8.16","3002"
"Quarta",10,"7.35","1795"
"Quarta",11,"9.87","1054"
"Quarta",12,"8.86","937"
"Quarta",13,"8.39","1013"
"Quarta",14,"6.69","1001"
"Quarta",15,"11.31","1990"
"Quarta",16,"11.75","2733"
"Quarta",17,"13.05","2337"
"Quarta",18,"11.76","1403"
"Quarta",19,"7.99","638"
"Quarta",20,"12.40","242"
"Quarta",21,"15.07","73"
"Quarta",22,"21.62","37"
"Quinta",4,"0.00","4"
"Quinta",5,"2.30","87"
"Quinta",6,"5.06","178"
"Quinta",7,"7.71","389"
"Quinta",8,"9.55","2440"
"Quinta",9,"7.93","3078"
"Quinta",10,"6.51","1966"
"Quinta",11,"8.26","1284"
"Quinta",12,"6.53","1057"
"Quinta",13,"8.14","835"
"Quinta",14,"8.72","1135"
"Quinta",15,"15.12","1554"
"Quinta",16,"14.96","2795"
"Quinta",17,"11.09","2533"
"Quinta",18,"9.73","1809"
"Quinta",19,"8.68","853"
"Quinta",20,"11.82","330"
"Quinta",21,"16.79","131"
"Quinta",22,"14.75","61"
"Sexta",5,"5.68","88"
"Sexta",6,"6.38","188"
"Sexta",7,"6.51","415"
"Sexta",8,"19.72","2003"
"Sexta",9,"15.12","2546"
"Sexta",10,"13.90","2273"
"Sexta",11,"8.23","1726"
"Sexta",12,"5.56","1204"
"Sexta",13,"6.81","1219"
"Sexta",14,"4.38","1027"
"Sexta",15,"8.98","1937"
"Sexta",16,"12.43","2671"
"Sexta",17,"13.09","2521"
"Sexta",18,"11.20","1581"
"Sexta",19,"8.25","824"
"Sexta",20,"8.25","315"
"Sexta",21,"9.76","123"
"Sexta",22,"13.46","52"
"Sábado",5,"12.50","144"
"Sábado",6,"8.00","250"
"Sábado",7,"5.96","436"
"Sábado",8,"8.45","2368"
"Sábado",9,"7.94","3299"
"Sábado",10,"7.98","2582"
"Sábado",11,"7.12","1813"
"Sábado",12,"7.05","1362"
"Sábado",13,"7.42","1253"
"Sábado",14,"7.02","1324"
"Sábado",15,"8.33","2390"
"Sábado",16,"8.41","3306"
"Sábado",17,"11.06","2884"
"Sábado",18,"8.22","1972"
"Sábado",19,"8.43","961"
"Sábado",20,"9.97","391"
"Sábado",21,"13.46","156"
"Sábado",22,"11.11","90"
"Sábado",23,"0.00","1"
